test,subject,stimulus,result,section,signal_type,source,stimulus_signal
test_4,7,Reference,100,1,drums,horizontal,Reference_drums
test_4,8,Reference,100,1,drums,horizontal,Reference_drums
test_4,9,Reference,100,1,drums,horizontal,Reference_drums
test_5,10,Passive,57,1,drums,elevated,Passive_drums
test_5,11,Passive,75,1,drums,elevated,Passive_drums
test_5,12,Passive,72,1,drums,elevated,Passive_drums
test_5,13,Passive,50,1,drums,elevated,Passive_drums
test_5,14,Passive,14,1,drums,elevated,Passive_drums
test_5,15,Passive,41,1,drums,elevated,Passive_drums
test_5,17,Passive,40,1,drums,elevated,Passive_drums
test_5,18,Passive,79,1,drums,elevated,Passive_drums
test_5,19,Passive,77,1,drums,elevated,Passive_drums
test_5,1,Passive,76,1,drums,elevated,Passive_drums
test_5,20,Passive,69,1,drums,elevated,Passive_drums
test_5,2,Passive,50,1,drums,elevated,Passive_drums
test_5,3,Passive,42,1,drums,elevated,Passive_drums
test_5,4,Passive,87,1,drums,elevated,Passive_drums
test_5,5,Passive,77,1,drums,elevated,Passive_drums
test_5,6,Passive,66,1,drums,elevated,Passive_drums
test_5,7,Passive,77,1,drums,elevated,Passive_drums
test_5,8,Passive,55,1,drums,elevated,Passive_drums
test_5,9,Passive,62,1,drums,elevated,Passive_drums
test_5,10,Anchor,25,1,drums,elevated,Anchor_drums
test_5,11,Anchor,0,1,drums,elevated,Anchor_drums
test_5,12,Anchor,22,1,drums,elevated,Anchor_drums
test_5,13,Anchor,37,1,drums,elevated,Anchor_drums
test_5,14,Anchor,0,1,drums,elevated,Anchor_drums
test_5,15,Anchor,0,1,drums,elevated,Anchor_drums
test_5,17,Anchor,0,1,drums,elevated,Anchor_drums
test_5,18,Anchor,0,1,drums,elevated,Anchor_drums
test_5,19,Anchor,13,1,drums,elevated,Anchor_drums
test_5,1,Anchor,11,1,drums,elevated,Anchor_drums
test_5,20,Anchor,0,1,drums,elevated,Anchor_drums
test_5,2,Anchor,13,1,drums,elevated,Anchor_drums
test_5,3,Anchor,44,1,drums,elevated,Anchor_drums
test_5,4,Anchor,49,1,drums,elevated,Anchor_drums
test_5,5,Anchor,57,1,drums,elevated,Anchor_drums
test_5,6,Anchor,28,1,drums,elevated,Anchor_drums
test_5,7,Anchor,25,1,drums,elevated,Anchor_drums
test_5,8,Anchor,38,1,drums,elevated,Anchor_drums
test_5,9,Anchor,39,1,drums,elevated,Anchor_drums
test_5,10,Hybrid,74,1,drums,elevated,Hybrid_drums
test_5,11,Hybrid,55,1,drums,elevated,Hybrid_drums
test_5,12,Hybrid,95,1,drums,elevated,Hybrid_drums
test_5,13,Hybrid,77,1,drums,elevated,Hybrid_drums
test_5,14,Hybrid,44,1,drums,elevated,Hybrid_drums
test_5,15,Hybrid,61,1,drums,elevated,Hybrid_drums
test_5,17,Hybrid,47,1,drums,elevated,Hybrid_drums
test_5,18,Hybrid,61,1,drums,elevated,Hybrid_drums
test_5,19,Hybrid,90,1,drums,elevated,Hybrid_drums
test_5,1,Hybrid,60,1,drums,elevated,Hybrid_drums
test_5,20,Hybrid,38,1,drums,elevated,Hybrid_drums
test_5,2,Hybrid,31,1,drums,elevated,Hybrid_drums
